"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port2,Port2)) []","dB(S(1,1))_sim []","dB(S(4,1))_sim []"
1,,,,-0.943409530637859,-7.63720812645436
1.025,,,,-0.866586090195715,-8.02592636493695
1.05,,,,-0.794504509374913,-8.4333028113084
1.075,,,,-0.726907708833036,-8.86154396047952
1.1,,,,-0.663568632590409,-9.31326199414124
1.125,,,,-0.604288926454595,-9.79156989398744
1.15,,,,-0.548897863443568,-10.3002072265635
1.175,,,,-0.497251515324603,-10.8437091785249
1.2,,,,-0.44923217467522,-11.4276378739984
1.225,,,,-0.404748038869346,-12.058905521264
1.25,,,,-0.363733178846162,-12.7462365610005
1.275,,,,-0.326147844211047,-13.5008461736656
1.3,,,,-0.29197929537853,-14.3374621694942
1.325,,,,-0.261239816797322,-15.2759526402826
1.35,,,,-0.233957110241483,-16.3451677471542
1.375,,,,-0.210240837804815,-17.5835711698803
1.4,,,,-0.190162320659103,-19.0545337820094
1.425,,,,-0.173847674835369,-20.8603623052442
1.45,,,,-0.161435283751475,-23.18822501775
1.475,,,,-0.153085816734056,-26.4369832106823
1.5,,,,-0.14902061627592,-31.6994827012917
1.525,,,,-0.14956543892723,-41.0886272803151
1.55,,,,-0.15512954096365,-32.6070660445911
1.575,,,,-0.166138697263634,-26.6372354702291
1.6,,,,-0.183029325936206,-22.9862114406697
1.625,,,,-0.206296816974805,-20.3516818380142
1.65,,,,-0.236521071155057,-18.2804895051138
1.675,,,,-0.274372791364865,-16.5663337520848
1.7,,,,-0.320617522164164,-15.0985730317761
1.725,,,,-0.376122660287131,-13.8112167947082
1.75,,,,-0.441866708095149,-12.6618979149121
1.775,,,,-0.518949737209632,-11.6219272283794
1.8,,,,-0.608604564316285,-10.6710952394339
1.825,,,,-0.71220944972673,-9.79473678882938
1.85,,,,-0.831188722400698,-8.98209057374313
1.875,,,,-0.967520902456724,-8.22475723671897
1.9,,,,-1.12281963468364,-7.5166974137055
1.925,,,,-1.29921542635984,-6.85314213995408
1.95,,,,-1.49895966838625,-6.23047748075263
1.975,,,,-1.72450517597918,-5.64596142915301
2,,,,-1.97851749530976,-5.09752744867595
2.025,,,,-2.26388770970367,-4.58363025647118
2.05,,,,-2.58375014400188,-4.10311920380456
2.075,,,,-2.94150876333096,-3.65513087622296
2.1,,,,-3.34087757172199,-3.23899607945128
2.125,,,,-3.78594242249861,-2.85415876192925
2.15,,,,-4.28125454865841,-2.50010600263346
2.175,,,,-4.8319702742494,-2.17630911938856
2.2,,,,-5.4440576769798,-1.88217634164007
2.225,,,,-6.12460113402284,-1.61701746297902
2.25,,,,-6.88225191163296,-1.38002057794832
2.275,,,,-7.72790351700077,-1.17024055170217
2.3,,,,-8.67572718631468,-0.986598390872024
2.325,,,,-9.74481326350914,-0.827890276881365
2.35,,,,-10.9618925397746,-0.692804770971119
2.375,,,,-12.3661204905987,-0.579946696265414
2.4,,,,-14.0181546060864,-0.48786660408916
2.425,,,,-16.0192172585031,-0.415095864974481
2.45,,,,-18.557235878978,-0.360189776313503
2.475,,,,-22.0455105555455,-0.321782093384569
2.5,,,,-27.738295837889,-0.298604041086661
2.525,,,,-47.9998435324298,-0.289016144342302
2.55,,,,-29.6895346229885,-0.291618475904984
2.575,,,,-23.2737551861332,-0.307914658720701
2.6,,,,-20.2448510611201,-0.343723043768903
2.625,,,,-17.8383532657561,-0.264872629249979
2.65,,,,-16.0753213893678,-0.340845101652376
2.675,,,,-14.6547875731174,-0.395132852839302
2.7,,,,-13.479495317175,-0.447350593254006
2.725,,,,-12.4880528661785,-0.502051115648438
2.75,,,,-11.6374968897892,-0.559910855592633
2.775,,,,-10.8977444962332,-0.620840040833541
2.8,,,,-10.2471118749684,-0.684553646814523
2.825,,,,-9.6695024050981,-0.750725094187679
2.85,,,,-9.15265406711866,-0.819036592206125
2.875,,,,-8.68701771917012,-0.889196698481729
2.9,,,,-8.26501639854399,-0.960945709957363
2.925,,,,-7.88054146515679,-1.03405609619467
2.95,,,,-7.52860050816783,-1.10833084855071
2.975,,,,-7.20506532425853,-1.18360099900664
3,-7.03363118195341,-1.80604853499127,-6.79384955648871,-6.90648762347419,-1.25972287995622
3.005,-7.00742198318816,-1.82774682488857,-6.75628818198577,,
3.01,-6.97680019364987,-1.83587792299809,-6.7174437439752,,
3.015,-6.93908598573787,-1.83313022962945,-6.67723870988966,,
3.02,-6.89771366658788,-1.81699111332947,-6.64370794592483,,
3.025,-6.84687216790706,-1.79184942179186,-6.61365964369381,-6.62996165774538,-1.33657537528134
3.03,-6.79641750547933,-1.76711741278132,-6.58431484307404,,
3.035,-6.742377014145,-1.74372964045477,-6.55767570301079,,
