"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
6.5,0,-180,-21.6238501460707,-21.5826269558805
6.5,0,-179,-22.2199365511922,-21.8336658123536
6.5,0,-178,-22.8540626983157,-22.0344123410985
6.5,0,-177,-23.526175286931,-22.1831299115812
6.5,0,-176,-24.2356762947511,-22.2810674198782
6.5,0,-175,-24.9810488243862,-22.3323365457244
6.5,0,-174,-25.7592624697238,-22.3433944366049
6.5,0,-173,-26.5648433092626,-22.3222762530434
6.5,0,-172,-27.3884643206213,-22.2777654181561
6.5,0,-171,-28.2149316673075,-22.2186621065211
6.5,0,-170,-29.020621609814,-22.1532422103131
6.5,0,-169,-29.7709695218549,-22.0889281845585
6.5,0,-168,-30.4197224286414,-22.0321442410408
6.5,0,-167,-30.9129653630415,-21.9883066107443
6.5,0,-166,-31.2005103368147,-21.9618982762457
6.5,0,-165,-31.2524177107737,-21.9565868754092
6.5,0,-164,-31.0712199365472,-21.9753567294448
6.5,0,-163,-30.6903756090684,-22.020636910837
6.5,0,-162,-30.1602815712179,-22.0944153784406
6.5,0,-161,-29.5323225090665,-22.1983344038287
6.5,0,-160,-28.8491101416051,-22.3337653205092
6.5,0,-159,-28.1417476772733,-22.5018616500153
6.5,0,-158,-27.4311523388664,-22.7035893555738
6.5,0,-157,-26.7306491671178,-22.9397315935471
6.5,0,-156,-26.0484051388044,-23.2108629130306
6.5,0,-155,-25.3892645929977,-23.517284247391
6.5,0,-154,-24.7559963412716,-23.8589049651202
6.5,0,-153,-24.1500939383914,-24.2350514044174
6.5,0,-152,-23.5722723395252,-24.6441727154926
6.5,0,-151,-23.0227701204952,-25.0834055781506
6.5,0,-150,-22.5015314752118,-25.5479533997608
6.5,0,-149,-22.0083155348612,-26.0302431764364
6.5,0,-148,-21.5427624141931,-26.5188663090994
6.5,0,-147,-21.1044337490651,-26.9974266978396
6.5,0,-146,-20.6928382698574,-27.4436561403978
6.5,0,-145,-20.3074485801018,-27.8295119760636
6.5,0,-144,-19.9477127049916,-28.1232637583932
6.5,0,-143,-19.6130624479788,-28.2943162918889
6.5,0,-142,-19.3029197126233,-28.3201656837643
6.5,0,-141,-19.0167014462891,-28.1928207703508
6.5,0,-140,-18.7538235825289,-27.9211754246422
6.5,0,-139,-18.5137042052587,-27.5278449482653
6.5,0,-138,-18.2957660745937,-27.0424326399182
6.5,0,-137,-18.0994386095235,-26.4947830319679
6.5,0,-136,-17.9241593983638,-25.9105919350625
6.5,0,-135,-17.7693752941541,-25.3096963928096
6.5,0,-134,-17.634543143509,-24.7061962407375
6.5,0,-133,-17.5191301911277,-24.1094250893697
6.5,0,-132,-17.4226141968814,-23.5251137038279
6.5,0,-131,-17.3444832975433,-22.9564308819719
6.5,0,-130,-17.2842356405971,-22.4048032016362
6.5,0,-129,-17.2413788131062,-21.8705177353742
6.5,0,-128,-17.2154290843938,-21.3531475539076
